,time,PCPI_IX,country
0,1950,1.72564579026114,ES
1,1951,1.88833183776378,ES
2,1952,1.85083906128897,ES
3,1953,1.88083328245577,ES
4,1954,1.9039809966337,ES
5,1955,1.98059667029961,ES
6,1956,2.09651389623976,ES
7,1957,2.32235998050184,ES
8,1958,2.63306771999806,ES
9,1959,2.82553888372084,ES
10,1960,2.8588172636632,ES
11,1961,2.88195232452844,ES
12,1962,3.04641027663252,ES
13,1963,3.31277918143836,ES
14,1964,3.54398621445886,ES
15,1965,4.01229343780496,ES
16,1966,4.2626752767703,ES
17,1967,4.53512975493322,ES
18,1968,4.75981668689015,ES
19,1969,4.86264525036417,ES
20,1970,5.14133049286065,ES
21,1971,5.56481608351142,ES
22,1972,6.02515367153582,ES
23,1973,6.71302784949169,ES
24,1974,7.76565568263989,ES
25,1975,9.08218949512879,ES
26,1976,10.6829144998085,ES
27,1977,13.3042948213001,ES
28,1978,15.9350422412622,ES
29,1979,18.4305073987535,ES
30,1980,21.2986449158928,ES
31,1981,24.3974583977492,ES
32,1982,27.9143525271117,ES
33,1983,31.312666107314,ES
34,1984,34.8448214426548,ES
35,1985,37.9162025718187,ES
36,1986,41.2509095815592,ES
37,1987,43.4157650034635,ES
38,1988,45.5159030679195,ES
39,1989,48.6070864218881,ES
40,1990,51.8743670462093,ES
41,1991,54.952702709123,ES
42,1992,58.2083927605955,ES
43,1993,60.8679759826759,ES
44,1994,63.7399789245035,ES
45,1995,66.7190602114961,ES
46,1996,69.0934885457812,ES
47,1997,70.455372303681,ES
48,1998,71.7477563338138,ES
49,1999,73.405379287671,ES
50,2000,75.9257644618479,ES
51,2001,78.6513734705299,ES
52,2002,81.0625546960444,ES
53,2003,83.5259552625553,ES
54,2004,86.0645168646731,ES
55,2005,88.9638704417588,ES
56,2006,92.0914627135699,ES
57,2007,94.6578652555523,ES
58,2008,98.5154982815584,ES
59,2009,98.2319577881941,ES
60,2010,100,ES
61,2011,103.196101888338,ES
62,2012,105.720410449569,ES
63,2013,107.209568161367,ES
64,2014,107.047558596627,ES
65,2015,106.51192932012,ES
66,2016,106.296138281102,ES
67,2017,108.375371885592,ES
68,2018,110.190639172868,ES
69,2019,110.961443623997,ES
70,2020,110.603312216661,ES
71,2021,114.024422110457,ES
72,2022,123.591728295232,ES
73,1950,0.0062979346201401,MX
74,1951,0.00709003869366444,MX
75,1952,0.00810138585892757,MX
76,1953,0.00797761959744215,MX
77,1954,0.00836483118694652,MX
78,1955,0.00970150681104203,MX
79,1956,0.0101718186045982,MX
80,1957,0.0106907528581696,MX
81,1958,0.0119876464695873,MX
82,1959,0.0122985355311756,MX
83,1960,0.0129045481900888,MX
84,1961,0.0131121513596533,MX
85,1962,0.0132693639798707,MX
86,1963,0.0133481913011842,MX
87,1964,0.0136602590890651,MX
88,1965,0.0141476624140679,MX
89,1966,0.0147440979217918,MX
90,1967,0.0151889197591989,MX
